map,algorithm,heuristic,execution_time,explored,frontier,path_length
3.txt,A*,ManhattanDistance,0.00022745132446289062,21,16,7
3.txt,A*,ManhattanImproved,0.0004398822784423828,21,16,7
3.txt,A*,PlayerDistance,0.0002772808074951172,38,26,7
3.txt,A*,CombinedHeuristic,0.00020194053649902344,14,12,7
5.txt,A*,ManhattanDistance,5.936622619628906e-05,3,5,4
5.txt,A*,ManhattanImproved,6.914138793945312e-05,3,5,4
5.txt,A*,PlayerDistance,6.151199340820312e-05,7,5,4
5.txt,A*,CombinedHeuristic,4.935264587402344e-05,3,5,4
1.txt,A*,ManhattanDistance,6.771087646484375e-05,6,9,4
1.txt,A*,ManhattanImproved,0.00010156631469726562,6,9,4
1.txt,A*,PlayerDistance,9.918212890625e-05,10,15,4
1.txt,A*,CombinedHeuristic,6.008148193359375e-05,3,8,4
2.txt,A*,ManhattanDistance,0.01802539825439453,2815,458,32
2.txt,A*,ManhattanImproved,0.023723602294921875,2815,458,32
2.txt,A*,PlayerDistance,0.030008316040039062,4149,678,32
2.txt,A*,CombinedHeuristic,0.013139486312866211,1576,488,32
3.txt,Greedy,ManhattanDistance,0.00019025802612304688,15,8,7
3.txt,Greedy,ManhattanImproved,0.0002391338348388672,15,8,7
3.txt,Greedy,PlayerDistance,0.0003223419189453125,37,37,15
3.txt,Greedy,CombinedHeuristic,9.799003601074219e-05,6,7,7
5.txt,Greedy,ManhattanDistance,4.863739013671875e-05,3,5,4
5.txt,Greedy,ManhattanImproved,7.271766662597656e-05,3,5,4
5.txt,Greedy,PlayerDistance,4.8160552978515625e-05,3,5,4
5.txt,Greedy,CombinedHeuristic,6.341934204101562e-05,3,5,4
1.txt,Greedy,ManhattanDistance,0.0001404285430908203,17,9,4
1.txt,Greedy,ManhattanImproved,0.00019359588623046875,17,9,4
1.txt,Greedy,PlayerDistance,5.650520324707031e-05,3,8,4
1.txt,Greedy,CombinedHeuristic,8.654594421386719e-05,3,8,4
2.txt,Greedy,ManhattanDistance,0.058237552642822266,2713,46,50
2.txt,Greedy,ManhattanImproved,0.026036739349365234,2713,46,50
2.txt,Greedy,PlayerDistance,0.003163576126098633,343,423,40
2.txt,Greedy,CombinedHeuristic,0.005968809127807617,679,237,50
